lambda2-lambda1 rms-sigma/3 rms-sigma/2 rms-sigma rms-2sigma rms-3sigma w-sigma/3 w-sigma/2 w-sigma w-2sigma w-3sigma
-6.00000e-02 9.07908e-01 8.78891e-01 8.33280e-01 7.11272e-01 5.87215e-01 nan nan nan nan nan
-5.00000e-02 3.92284e+00 8.81227e-01 8.50068e-01 7.55924e-01 6.55816e-01 nan nan nan nan nan
-4.00000e-02 3.93045e+00 8.88106e-01 8.66460e-01 7.98484e-01 7.22637e-01 nan nan nan nan nan
-3.00000e-02 3.92957e+00 8.90928e-01 8.77378e-01 8.35230e-01 7.84456e-01 nan nan nan nan nan
-2.00000e-02 3.90866e+00 9.04673e-01 8.88148e-01 8.66810e-01 8.40034e-01 nan nan nan nan nan
-1.00000e-02 9.05050e-01 8.94003e-01 8.92228e-01 8.86805e-01 8.79357e-01 nan nan nan nan nan
0.00000e+00 9.01640e-01 8.94519e-01 8.95778e-01 3.92044e+00 3.92052e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
1.00000e-02 9.00938e-01 8.94149e-01 8.92923e-01 8.87425e-01 8.80229e-01 1.04651e-02 1.57133e-02 3.14266e-02 6.28533e-02 9.42799e-02
2.00000e-02 3.91384e+00 3.91813e+00 8.90992e-01 8.66707e-01 8.41347e-01 2.09301e-02 3.14266e-02 6.28533e-02 1.25707e-01 1.88560e-01
3.00000e-02 8.97770e-01 8.90558e-01 8.76861e-01 8.35372e-01 7.86082e-01 3.13952e-02 4.71399e-02 9.42799e-02 1.88560e-01 2.82840e-01
4.00000e-02 8.95050e-01 8.87532e-01 8.66074e-01 7.98336e-01 7.24008e-01 4.18603e-02 6.28533e-02 1.25707e-01 2.51413e-01 3.77120e-01
5.00000e-02 8.90605e-01 8.81765e-01 8.49272e-01 7.55418e-01 6.56866e-01 5.23253e-02 7.85666e-02 1.57133e-01 3.14266e-01 4.71399e-01
6.00000e-02 8.86311e-01 8.76336e-01 8.32479e-01 7.10967e-01 5.88251e-01 6.27904e-02 9.42799e-02 1.88560e-01 3.77120e-01 5.65679e-01
7.00000e-02 8.86297e-01 8.71568e-01 8.13587e-01 6.64860e-01 5.19237e-01 7.32555e-02 1.09993e-01 2.19986e-01 4.39973e-01 6.59959e-01
8.00000e-02 8.82140e-01 8.65815e-01 7.93516e-01 6.18007e-01 4.51481e-01 8.37205e-02 1.25707e-01 2.51413e-01 5.02826e-01 7.54239e-01
9.00000e-02 8.79583e-01 8.60122e-01 7.72887e-01 5.71196e-01 3.86153e-01 9.41856e-02 1.41420e-01 2.82840e-01 5.65679e-01 8.48519e-01
1.00000e-01 8.70512e-01 8.47600e-01 7.48750e-01 5.23663e-01 3.23502e-01 1.04651e-01 1.57133e-01 3.14266e-01 6.28533e-01 9.42799e-01
1.10000e-01 8.68138e-01 8.41343e-01 7.27182e-01 4.77752e-01 2.65207e-01 1.15116e-01 1.72846e-01 3.45693e-01 6.91386e-01 1.03708e+00
1.20000e-01 8.63043e-01 8.32376e-01 7.04004e-01 4.32695e-01 2.11858e-01 1.25581e-01 1.88560e-01 3.77120e-01 7.54239e-01 1.13136e+00
1.30000e-01 8.58294e-01 8.23086e-01 6.80132e-01 3.88912e-01 1.63754e-01 1.36046e-01 2.04273e-01 4.08546e-01 8.17092e-01 1.22564e+00
1.40000e-01 8.51173e-01 8.12128e-01 6.56300e-01 3.47316e-01 1.21849e-01 1.46511e-01 2.19986e-01 4.39973e-01 8.79946e-01 1.31992e+00
1.50000e-01 8.44501e-01 8.01572e-01 6.32260e-01 3.07591e-01 8.58614e-02 1.56976e-01 2.35700e-01 4.71399e-01 9.42799e-01 1.41420e+00
1.60000e-01 8.40420e-01 7.91961e-01 6.08217e-01 2.70096e-01 5.61078e-02 1.67441e-01 2.51413e-01 5.02826e-01 1.00565e+00 1.50848e+00
1.70000e-01 8.33597e-01 7.81528e-01 5.84200e-01 2.34976e-01 3.22743e-02 1.77906e-01 2.67126e-01 5.34253e-01 1.06851e+00 1.60276e+00
1.80000e-01 8.25338e-01 7.69512e-01 5.60610e-01 2.02813e-01 1.43280e-02 1.88371e-01 2.82840e-01 5.65679e-01 1.13136e+00 1.69704e+00
1.90000e-01 8.21587e-01 7.59255e-01 5.36463e-01 1.73037e-01 2.13412e-03 1.98836e-01 2.98553e-01 5.97106e-01 1.19421e+00 1.79132e+00
2.00000e-01 8.14286e-01 7.48276e-01 5.12866e-01 1.46049e-01 6.94611e-03 2.09301e-01 3.14266e-01 6.28533e-01 1.25707e+00 1.88560e+00
