lambda2-lambda1 rms-sigma/3 rms-sigma/2 rms-sigma rms-2sigma rms-3sigma w-sigma/3 w-sigma/2 w-sigma w-2sigma w-3sigma
2.70000e+00 9.78036e-03 3.63982e-03 2.29319e-03 1.23631e-03 1.01389e-03 2.82557e+00 4.24260e+00 nan nan nan
2.71000e+00 9.19561e-03 2.99978e-03 2.00210e-03 1.48287e-03 1.39357e-03 2.83603e+00 4.25831e+00 nan nan nan
2.72000e+00 1.06045e-02 5.33586e-03 3.17373e-03 1.50727e-03 1.12452e-03 2.84650e+00 4.27402e+00 nan nan nan
2.73000e+00 9.64074e-03 3.31950e-03 2.30637e-03 2.02117e-03 2.06446e-03 2.85696e+00 4.28974e+00 nan nan nan
2.74000e+00 9.46231e-03 3.48125e-03 2.62610e-03 1.37784e-03 1.25162e-03 2.86743e+00 4.30545e+00 nan nan nan
2.75000e+00 9.72382e-03 3.85107e-03 3.71993e-03 3.02422e-03 2.65935e-03 2.87789e+00 4.32116e+00 nan nan nan
2.76000e+00 1.02696e-02 4.75392e-03 3.98648e-03 2.52527e-03 1.62051e-03 2.88836e+00 4.33687e+00 nan nan nan
2.77000e+00 9.82416e-03 3.25599e-03 2.67671e-03 2.05485e-03 1.69600e-03 2.89882e+00 4.35259e+00 nan nan nan
2.78000e+00 1.03560e-02 3.49382e-03 2.06076e-03 1.31990e-03 1.13130e-03 2.90929e+00 4.36830e+00 nan nan nan
2.79000e+00 9.85935e-03 3.15626e-03 1.87959e-03 1.60524e-03 1.23806e-03 2.91975e+00 4.38401e+00 nan nan nan
2.80000e+00 9.21168e-03 3.95515e-03 3.64913e-03 2.52202e-03 2.11650e-03 2.93022e+00 4.39973e+00 nan nan nan
2.81000e+00 1.00822e-02 3.10532e-03 1.80312e-03 1.29535e-03 1.20925e-03 2.94068e+00 4.41544e+00 nan nan nan
2.82000e+00 8.54722e-03 2.51767e-03 1.88686e-03 1.46985e-03 1.76012e-03 2.95115e+00 4.43115e+00 nan nan nan
2.83000e+00 9.50013e-03 3.17444e-03 1.96509e-03 1.79452e-03 1.91391e-03 2.96161e+00 4.44687e+00 nan nan nan
2.84000e+00 9.12587e-03 2.37640e-03 1.76215e-03 1.36965e-03 1.56943e-03 2.97208e+00 4.46258e+00 nan nan nan
2.85000e+00 9.49656e-03 4.45218e-03 3.11246e-03 1.57280e-03 1.27935e-03 2.98254e+00 4.47829e+00 nan nan nan
2.86000e+00 9.18828e-03 2.87222e-03 2.00637e-03 1.33491e-03 1.23221e-03 2.99301e+00 4.49401e+00 nan nan nan
2.87000e+00 1.04750e-02 3.65710e-03 2.49488e-03 1.82591e-03 1.57437e-03 3.00347e+00 4.50972e+00 nan nan nan
2.88000e+00 9.28709e-03 3.40963e-03 1.87164e-03 1.25415e-03 1.15379e-03 3.01394e+00 4.52543e+00 nan nan nan
2.89000e+00 9.32817e-03 2.65706e-03 1.81885e-03 1.32449e-03 1.12874e-03 3.02440e+00 4.54115e+00 nan nan nan
2.90000e+00 9.47468e-03 2.53629e-03 1.72396e-03 1.10719e-03 9.22364e-04 3.03487e+00 4.55686e+00 nan nan nan
2.91000e+00 9.19625e-03 2.70989e-03 2.14395e-03 1.57666e-03 1.20946e-03 3.04533e+00 4.57257e+00 nan nan nan
2.92000e+00 8.92044e-03 3.52959e-03 2.45511e-03 1.63726e-03 1.45068e-03 3.05580e+00 4.58829e+00 nan nan nan
2.93000e+00 9.68146e-03 3.18001e-03 1.92218e-03 1.25477e-03 1.10296e-03 3.06626e+00 4.60400e+00 nan nan nan
2.94000e+00 9.62450e-03 4.41237e-03 2.48837e-03 1.31529e-03 1.27805e-03 3.07673e+00 4.61971e+00 nan nan nan
2.95000e+00 9.09653e-03 2.30833e-03 1.82643e-03 1.38085e-03 1.34550e-03 3.08720e+00 4.63543e+00 nan nan nan
2.96000e+00 9.47581e-03 3.28149e-03 1.87672e-03 1.23577e-03 1.17708e-03 3.09766e+00 4.65114e+00 nan nan nan
2.97000e+00 9.29084e-03 2.37396e-03 1.66837e-03 1.22090e-03 1.07801e-03 3.10813e+00 4.66685e+00 nan nan nan
2.98000e+00 9.39279e-03 3.83209e-03 2.59235e-03 1.61213e-03 1.17673e-03 3.11859e+00 4.68257e+00 nan nan nan
2.99000e+00 9.42651e-03 2.78759e-03 1.90008e-03 2.04372e-03 1.71265e-03 3.12906e+00 4.69828e+00 nan nan nan
3.00000e+00 9.13711e-03 2.42239e-03 1.84707e-03 1.59070e-03 1.28259e-03 3.13952e+00 4.71399e+00 nan nan nan
