time difference
5.66667e+00 1.30414e+01
5.70833e+00 1.00027e+01
5.75000e+00 2.83766e+00
5.79167e+00 1.57254e+00
5.83333e+00 8.06368e+00
5.87500e+00 5.46249e+00
5.91667e+00 -2.02893e+01
5.95833e+00 -2.29141e+01
6.00000e+00 1.35025e+01
6.04167e+00 -2.42975e+01
6.08333e+00 -2.20746e+01
6.12500e+00 6.42020e+00
6.16667e+00 -2.92042e+00
6.20833e+00 4.48114e+00
6.25000e+00 1.45430e+01
6.29167e+00 4.11461e+00
6.33333e+00 6.00638e+00
6.37500e+00 -1.26512e+00
6.41667e+00 8.06368e+00
6.45833e+00 -2.74307e+00
6.50000e+00 4.48114e+00
6.54167e+00 9.09233e+00
6.58333e+00 -1.83265e+01
6.62500e+00 3.73625e+00
6.66667e+00 6.88132e+00
6.70833e+00 1.74043e+01
6.75000e+00 -2.00883e+01
6.79167e+00 -3.31060e-01
6.83333e+00 8.77309e+00
6.87500e+00 5.67532e-01
6.91667e+00 -2.68395e+00
6.95833e+00 4.55208e+00
7.00000e+00 1.03338e+01
7.04167e+00 -3.00319e+00
7.08333e+00 1.51933e+01
7.12500e+00 1.52524e+00
7.16667e+00 4.36290e+00
7.20833e+00 9.96728e+00
7.25000e+00 2.04548e+01
7.29167e+00 -1.40346e+01
7.33333e+00 1.16935e+01
7.37500e+00 -2.41792e+01
7.41667e+00 1.00382e+01
7.45833e+00 -2.54207e+00
7.50000e+00 1.11378e+01
7.54167e+00 1.09959e+01
7.58333e+00 1.08895e+01
7.62500e+00 -1.26512e+00
7.66667e+00 -1.44129e+01
7.70833e+00 -2.05730e+00
7.75000e+00 -5.62802e+00
7.79167e+00 -9.63622e+00
7.83333e+00 -1.01565e+01
7.87500e+00 2.05021e+01
7.91667e+00 1.36444e+01
7.95833e+00 4.05549e+00
8.00000e+00 1.44248e+01
8.04167e+00 9.22239e+00
8.08333e+00 -2.24057e+01
8.12500e+00 -3.87813e+00
8.16667e+00 -2.94407e+00
8.20833e+00 6.82220e+00
8.25000e+00 -2.49477e+00
8.29167e+00 -1.72506e+01
8.33333e+00 -3.19237e-01
8.37500e+00 2.29377e+00
8.41667e+00 -1.54889e+01
8.45833e+00 1.42001e+01
8.50000e+00 1.45666e+01
8.54167e+00 -9.71898e+00
8.58333e+00 2.11642e+00
8.62500e+00 -2.28550e+01
8.66667e+00 2.24412e+01
8.70833e+00 6.42020e+00
8.75000e+00 -2.38009e+01
8.79167e+00 1.76881e+01
8.83333e+00 -9.17510e+00
8.87500e+00 1.18827e+01
8.91667e+00 6.18373e+00
8.95833e+00 2.94407e+00
9.00000e+00 8.24103e+00
9.04167e+00 2.27013e+00
9.08333e+00 6.60938e+00
9.12500e+00 -4.61120e-01
9.16667e+00 1.34789e+01
9.20833e+00 1.44248e+01
9.25000e+00 2.23466e+00
9.29167e+00 -1.09959e+01
9.33333e+00 1.64348e+00
9.37500e+00 1.28286e+01
9.41667e+00 -2.35762e+01
9.45833e+00 6.31379e+00
9.50000e+00 -1.35025e+01
9.54167e+00 -2.01947e+01
9.58333e+00 -1.96271e+01
9.62500e+00 -7.50797e+00
9.66667e+00 1.13033e+01
9.70833e+00 1.85394e+01
9.75000e+00 1.57490e+01
9.79167e+00 1.08304e+01
9.83333e+00 -1.53943e+01
9.87500e+00 6.46750e+00
9.91667e+00 -6.01820e+00
9.95833e+00 5.52161e+00
1.00000e+01 2.28195e+01
1.00417e+01 -2.68395e+00
1.00833e+01 -8.74945e-01
1.01250e+01 -4.24466e+00
1.01667e+01 9.54163e+00
1.02083e+01 -1.96508e+01
1.02500e+01 -3.09778e+00
1.02917e+01 -7.82721e+00
1.03333e+01 -2.36472e+00
1.03750e+01 7.68533e+00
1.04167e+01 2.10460e+00
1.04583e+01 1.02156e+01
1.05000e+01 -1.90951e+01
1.05417e+01 -1.17408e+01
1.05833e+01 -7.63803e+00
1.06250e+01 -5.98273e+00
1.06667e+01 1.09841e+01
1.07083e+01 1.68959e+01
1.07500e+01 -2.01001e+00
1.07917e+01 7.46068e+00
1.08333e+01 6.03002e-01
1.08750e+01 -5.54526e+00
1.09167e+01 1.53707e+01
1.09583e+01 -1.13506e+01
1.10000e+01 1.74161e+01
1.10417e+01 2.18736e+00
1.10833e+01 5.79355e+00
1.11250e+01 3.14507e+00
1.11667e+01 -1.08777e+00
1.12083e+01 -8.20556e+00
1.12500e+01 2.58936e+00
1.12917e+01 -9.65986e+00
1.13333e+01 1.64584e+01
1.13750e+01 -1.80901e+01
1.14167e+01 -3.15690e+00
1.14583e+01 9.52980e+00
1.15000e+01 -9.00957e+00
1.15417e+01 -9.34063e-01
1.15833e+01 7.36609e+00
1.16250e+01 1.20837e+01
1.16667e+01 1.99937e+01
1.17083e+01 -9.21057e+00
1.17500e+01 1.22965e+01
1.17917e+01 1.92724e+01
1.18333e+01 -2.00291e+01
1.18750e+01 9.75445e+00
1.19167e+01 -1.47795e+01
1.19583e+01 4.56390e+00
1.20000e+01 -5.32061e+00
1.20417e+01 5.84085e+00
1.20833e+01 1.35853e+01
1.21250e+01 -1.67067e+01
1.21667e+01 -4.31561e+00
1.22083e+01 -4.77673e+00
1.22500e+01 -9.09233e+00
1.22917e+01 -1.57963e+01
1.23333e+01 9.68351e+00
1.23750e+01 -2.35880e+01
1.24167e+01 6.24285e+00
1.24583e+01 -1.64348e+00
1.25000e+01 -7.04685e+00
1.25417e+01 -3.47613e+00
1.25833e+01 1.17999e+01
1.26250e+01 -3.70078e+00
1.26667e+01 -2.22874e+01
1.27083e+01 -1.71797e+01
1.27500e+01 5.11961e+00
1.27917e+01 9.48251e+00
1.28333e+01 -7.87450e+00
1.28750e+01 7.73262e+00
1.29167e+01 -1.94734e+01
1.29583e+01 -1.64584e+01
1.30000e+01 3.41701e+00
1.30417e+01 7.35427e+00
1.30833e+01 1.00146e+01
1.31250e+01 -5.15508e+00
1.31667e+01 -7.46068e+00
1.32083e+01 4.07913e+00
1.32500e+01 1.56426e+01
1.32917e+01 -5.00137e+00
1.33333e+01 -5.73444e+00
1.33750e+01 -6.19555e+00
1.34167e+01 -1.88231e+01
1.34583e+01 1.41055e+01
1.35000e+01 8.05186e+00
1.35417e+01 8.15827e-01
1.35833e+01 6.06550e+00
1.36250e+01 -4.70578e+00
1.36667e+01 -2.35289e+00
1.37083e+01 -2.21574e+01
1.37500e+01 1.08304e+01
1.37917e+01 8.46568e+00
1.38333e+01 2.25239e+01
1.38750e+01 7.66168e+00
1.39167e+01 -1.53234e+01
1.39583e+01 1.55717e+01
1.40000e+01 1.78181e+01
1.40417e+01 -2.42383e+00
1.40833e+01 -1.45785e+01
1.41250e+01 -1.55717e+01
1.41667e+01 -1.68013e+01
1.42083e+01 9.41157e+00
1.42500e+01 1.47676e+01
1.42917e+01 -2.28077e+01
1.43333e+01 8.27650e-01
1.43750e+01 1.13861e+01
1.44167e+01 2.14480e+01
1.44583e+01 1.08895e+01
1.45000e+01 1.09959e+00
1.45417e+01 8.07550e+00
1.45833e+01 1.06294e+01
