a fft p
6.60000e+01 4.11945e-01 2.88847e-01
6.70000e+01 1.08927e-29 3.28435e-01
6.80000e+01 4.33128e-01 3.61071e-01
6.90000e+01 1.71346e-29 3.82484e-01
7.00000e+01 4.13838e-01 3.89794e-01
7.10000e+01 2.52076e-29 3.81899e-01
7.20000e+01 3.50724e-01 3.59597e-01
7.30000e+01 3.34804e-29 3.25369e-01
7.40000e+01 2.61088e-01 2.82878e-01
7.50000e+01 3.99258e-29 2.36305e-01
7.60000e+01 1.70340e-01 1.89666e-01
7.70000e+01 4.31573e-29 1.46269e-01
7.80000e+01 9.75226e-02 1.08381e-01
7.90000e+01 4.30236e-29 7.71609e-02
8.00000e+01 4.91343e-02 5.27814e-02
8.10000e+01 4.04259e-29 3.46901e-02
8.20000e+01 2.18593e-02 2.19064e-02
8.30000e+01 3.66826e-29 1.32916e-02
8.40000e+01 8.61778e-03 7.74857e-03
8.50000e+01 3.29496e-29 4.34018e-03
8.60000e+01 3.02114e-03 2.33579e-03
8.70000e+01 2.99574e-29 1.20782e-03
8.80000e+01 9.44930e-04 6.00079e-04
8.90000e+01 2.80236e-29 2.86455e-04
9.00000e+01 2.64508e-04 1.31385e-04
9.10000e+01 2.71771e-29 5.78993e-05
9.20000e+01 6.64604e-05 2.45156e-05
9.30000e+01 2.72569e-29 9.97361e-06
9.40000e+01 1.50303e-05 3.89854e-06
9.50000e+01 2.79401e-29 1.46417e-06
9.60000e+01 3.06746e-06 5.28352e-07
9.70000e+01 2.87579e-29 1.83187e-07
9.80000e+01 5.66307e-07 6.10248e-08
9.90000e+01 2.91938e-29 1.95325e-08
1.00000e+02 9.47947e-08 6.00691e-09
